Hours,Temperature
0.0068,15.5483
0.0068,15.1557
0.0229,15.2865
0.0229,15.1557
0.0389,15.1557
0.1995,15.81
0.2477,15.1557
0.2638,15.1557
0.3441,15.81
0.3602,15.81
0.4244,15.81
0.4405,15.81
0.4405,15.6791
0.4405,15.5483
0.4405,15.4174
0.4405,15.2865
0.4565,16.4644
0.4565,16.3335
0.4565,16.2026
0.4565,16.0718
0.4565,15.9409
0.4565,15.81
0.4565,15.6791
0.4565,15.5483
0.4565,15.4174
0.4565,15.2865
0.4726,16.4644
0.4726,16.0718
0.4726,15.9409
0.4726,15.81
0.4726,15.6791
0.4726,15.5483
0.4726,15.4174
0.4726,15.2865
0.4887,17.6422
0.4887,17.5113
0.4887,17.3805
0.4887,17.2496
0.4887,17.1187
0.4887,16.9879
0.4887,16.857
0.4887,16.7261
0.4887,16.5952
0.4887,15.9409
0.4887,15.81
0.4887,15.6791
0.4887,15.5483
0.4887,15.4174
0.4887,15.2865
0.5047,19.9979
0.5047,19.867
0.5047,18.8201
0.5047,18.6892
0.5047,17.7731
0.5208,19.9979
0.5208,19.867
0.5208,19.7362
0.5208,19.6053
0.5208,19.4744
0.5208,19.3435
0.5208,18.9509
0.5208,18.8201
0.5208,18.6892
0.5208,18.5583
0.5208,18.0348
0.5208,17.904
0.5208,17.7731
0.5368,19.9979
0.5368,19.867
0.5368,19.7362
0.5368,19.6053
0.5368,19.4744
0.5368,19.3435
0.5368,19.2127
0.5368,19.0818
0.5529,19.9979
0.5529,19.867
0.5529,19.7362
0.5529,19.6053
0.5529,19.4744
0.569,19.9979
0.569,19.867
0.569,19.7362
0.569,19.6053
0.569,19.4744
0.585,19.9979
0.585,19.867
0.585,19.7362
0.585,19.6053
0.585,19.4744
0.6011,19.9979
0.6011,19.867
0.6011,19.7362
0.6011,19.6053
0.6011,19.4744
0.6171,19.9979
0.6171,19.867
0.6171,19.7362
0.6171,19.6053
0.6171,19.4744
0.6332,19.9979
0.6332,19.867
0.6332,19.7362
0.6332,19.6053
0.6332,19.4744
0.6493,19.9979
0.6493,19.867
0.6493,19.7362
0.6493,19.6053
0.6493,19.4744
0.6653,19.9979
0.6653,19.867
0.6653,19.7362
0.6653,19.6053
0.6653,19.4744
0.6814,19.9979
0.6814,19.867
0.6814,19.7362
0.6814,19.6053
0.6814,19.4744
0.6975,19.9979
0.6975,19.867
0.6975,19.7362
0.6975,19.6053
0.6975,19.4744
0.7135,19.9979
0.7135,19.867
0.7135,19.7362
0.7135,19.6053
0.7135,19.4744
0.7296,19.9979
0.7296,19.867
0.7296,19.7362
0.7296,19.6053
0.7296,19.4744
0.7456,19.9979
0.7456,19.867
0.7456,19.7362
0.7456,19.6053
0.7456,19.4744
0.7617,19.9979
0.7617,19.867
0.7617,19.7362
0.7617,19.6053
0.7617,19.4744
0.7778,19.9979
0.7778,19.867
0.7778,19.7362
0.7778,19.6053
0.7778,19.4744
0.7938,19.9979
0.7938,19.867
0.7938,19.7362
0.7938,19.6053
0.7938,19.4744
0.8099,19.9979
0.8099,19.867
0.8099,19.7362
0.8099,19.6053
0.8099,19.4744
0.8259,19.9979
0.8259,19.867
0.8259,19.7362
0.8259,19.6053
0.8259,19.4744
0.842,19.9979
0.842,19.867
0.842,19.7362
0.842,19.6053
0.842,19.4744
0.8581,19.9979
0.8581,19.867
0.8581,19.7362
0.8581,19.6053
0.8581,19.4744
0.8741,19.9979
0.8741,19.867
0.8741,19.7362
0.8741,19.6053
0.8741,19.4744
0.8902,19.9979
0.8902,19.867
0.8902,19.7362
0.8902,19.6053
0.8902,19.4744
0.9063,19.9979
0.9063,19.867
0.9063,19.7362
0.9063,19.6053
0.9063,19.4744
0.9223,19.9979
0.9223,19.867
0.9223,19.7362
0.9223,19.6053
0.9223,19.4744
0.9384,19.9979
0.9384,19.867
0.9384,19.7362
0.9384,19.6053
0.9384,19.4744
0.9544,19.9979
0.9544,19.867
0.9544,19.7362
0.9544,19.6053
0.9544,19.4744
0.9705,19.9979
0.9705,19.867
0.9705,19.7362
0.9705,19.6053
0.9705,19.4744
0.9866,20.1288
0.9866,19.9979
0.9866,19.867
0.9866,19.7362
0.9866,19.6053
0.9866,19.4744
1.0026,20.7831
1.0026,20.6523
1.0026,20.5214
1.0026,20.3905
1.0026,20.2597
1.0026,20.1288
1.0026,19.9979
1.0026,19.867
1.0026,19.7362
1.0026,19.6053
1.0026,19.4744
1.0187,22.4845
1.0187,22.3536
1.0187,22.2227
1.0187,22.0919
1.0187,21.961
1.0187,21.8301
1.0187,21.6992
1.0187,21.5684
1.0187,21.4375
1.0187,21.3066
1.0187,21.1758
1.0187,21.0449
1.0187,20.914
1.0187,19.9979
1.0187,19.867
1.0187,19.7362
1.0187,19.6053
1.0187,19.4744
1.0347,25.6254
1.0347,25.4945
1.0347,25.3637
1.0347,25.2328
1.0347,24.1858
1.0347,24.0549
1.0347,23.9241
1.0347,23.2697
1.0347,23.1388
1.0347,23.008
1.0347,22.8771
1.0347,22.7462
1.0508,25.7563
1.0508,25.6254
1.0508,25.4945
1.0508,25.3637
1.0508,25.2328
1.0508,25.1019
1.0508,24.0549
1.0508,23.9241
1.0508,23.7932
1.0508,23.6623
1.0508,23.5314
1.0508,23.4006
1.0508,23.2697
1.0508,23.1388
1.0508,23.008
1.0508,22.8771
1.0508,22.7462
1.0669,25.7563
1.0669,25.6254
1.0669,25.4945
1.0669,25.3637
1.0669,25.2328
1.0669,25.1019
1.0669,24.971
1.0669,24.8402
1.0669,24.7093
1.0669,24.5784
1.0669,24.4476
1.0829,25.6254
1.0829,25.4945
1.0829,25.3637
1.0829,25.2328
1.0829,25.1019
1.099,25.6254
1.099,25.4945
1.099,25.3637
1.099,25.2328
1.099,25.1019
1.1151,25.6254
1.1151,25.4945
1.1151,25.3637
1.1151,25.2328
1.1151,25.1019
1.1311,25.6254
1.1311,25.4945
1.1311,25.3637
1.1311,25.2328
1.1311,25.1019
1.1472,25.6254
1.1472,25.4945
1.1472,25.3637
1.1472,25.2328
1.1472,25.1019
1.1632,25.6254
1.1632,25.4945
1.1632,25.3637
1.1632,25.2328
1.1793,25.6254
1.1793,25.4945
1.1793,25.3637
1.1954,25.6254
1.1954,25.4945
1.1954,25.3637
1.1954,25.2328
1.2114,25.6254
1.2114,25.4945
1.2114,25.3637
1.2114,25.2328
1.2114,25.1019
1.2275,25.6254
1.2275,25.4945
1.2275,25.3637
1.2275,25.2328
1.2275,25.1019
1.2435,25.6254
1.2435,25.4945
1.2435,25.3637
1.2435,25.2328
1.2435,25.1019
1.2596,25.6254
1.2596,25.4945
1.2596,25.3637
1.2596,25.2328
1.2596,25.1019
1.2757,25.6254
1.2757,25.4945
1.2757,25.3637
1.2757,25.2328
1.2757,25.1019
1.2917,25.6254
1.2917,25.4945
1.2917,25.3637
1.2917,25.2328
1.2917,25.1019
1.3078,25.6254
1.3078,25.4945
1.3078,25.3637
1.3078,25.2328
1.3078,25.1019
1.3239,25.6254
1.3239,25.4945
1.3239,25.3637
1.3239,25.2328
1.3239,25.1019
1.3399,25.6254
1.3399,25.4945
1.3399,25.3637
1.3399,25.2328
1.3399,25.1019
1.356,25.6254
1.356,25.4945
1.356,25.3637
1.356,25.2328
1.356,25.1019
1.372,25.6254
1.372,25.4945
1.372,25.3637
1.372,25.2328
1.372,25.1019
1.3881,25.6254
1.3881,25.4945
1.3881,25.3637
1.3881,25.2328
1.3881,25.1019
1.4042,25.6254
1.4042,25.4945
1.4042,25.3637
1.4042,25.2328
1.4042,25.1019
1.4202,25.6254
1.4202,25.4945
1.4202,25.3637
1.4202,25.2328
1.4202,25.1019
1.4363,25.6254
1.4363,25.4945
1.4363,25.3637
1.4363,25.2328
1.4363,25.1019
1.4523,25.6254
1.4523,25.4945
1.4523,25.3637
1.4523,25.2328
1.4523,25.1019
1.4684,25.6254
1.4684,25.4945
1.4684,25.3637
1.4684,25.2328
1.4684,25.1019
1.4845,25.6254
1.4845,25.4945
1.4845,25.3637
1.4845,25.2328
1.4845,25.1019
1.5005,25.6254
1.5005,25.4945
1.5005,25.3637
1.5005,25.2328
1.5005,25.1019
1.5166,25.6254
1.5166,25.4945
1.5166,25.3637
1.5166,25.2328
1.5166,25.1019
1.5327,25.7563
1.5327,25.6254
1.5327,25.4945
1.5327,25.3637
1.5327,25.2328
1.5327,25.1019
1.5487,26.4106
1.5487,26.2798
1.5487,26.1489
1.5487,25.8871
1.5487,25.7563
1.5487,25.6254
1.5487,25.4945
1.5487,25.3637
1.5487,25.2328
1.5487,25.1019
1.5648,26.5415
1.5648,26.018
1.5808,28.112
1.5808,27.9811
1.5808,27.8502
1.5808,27.7193
1.5808,27.5885
1.5808,27.1959
1.5808,27.065
1.5808,26.9341
1.5808,26.8032
1.5808,26.6724
1.5969,28.112
1.5969,27.9811
1.5969,27.8502
1.5969,27.7193
1.5969,27.5885
1.5969,27.4576
1.613,28.112
1.613,27.9811
1.613,27.8502
1.613,27.7193
1.613,27.5885
1.613,27.4576
1.629,28.112
1.629,27.9811
1.629,27.8502
1.629,27.7193
1.629,27.5885
1.6451,28.112
1.6451,27.9811
1.6451,27.8502
1.6451,27.7193
1.6451,27.5885
1.6611,28.112
1.6611,27.9811
1.6611,27.8502
1.6611,27.7193
1.6611,27.5885
1.6772,28.112
1.6772,27.9811
1.6772,27.8502
1.6772,27.7193
1.6772,27.5885
1.6933,28.112
1.6933,27.9811
1.6933,27.8502
1.6933,27.7193
1.6933,27.5885
1.7093,28.112
1.7093,27.9811
1.7093,27.8502
1.7093,27.7193
1.7093,27.5885
1.7254,28.112
1.7254,27.9811
1.7254,27.8502
1.7254,27.7193
1.7254,27.5885
1.7415,28.112
1.7415,27.9811
1.7415,27.8502
1.7415,27.7193
1.7415,27.5885
1.7575,28.112
1.7575,27.9811
1.7575,27.8502
1.7575,27.7193
1.7575,27.5885
1.7736,28.112
1.7736,27.9811
1.7736,27.8502
1.7736,27.7193
1.7736,27.5885
1.7896,28.112
1.7896,27.9811
1.7896,27.8502
1.7896,27.7193
1.7896,27.5885
